dataset,alpha,delta,group,unit_fdp,exceed,genes,terms,calls,term_fdp,genes_with_calls
Sanger,0.2,0.1,GoCo-exp1,0.1927,0.08,372.74,1304.99,15865.86,0.9177,952.44
Sanger,0.2,0.1,GoCo-oracle,0.1881,0.0,381.54,1346.36,15950.04,0.9155,943.96
Sanger,0.2,0.1,GoCo-random,0.1937,0.14,363.2433,1234.01,14416.91,0.9144,957.44
Sanger,0.2,0.1,GoCo-score,0.1932,0.08,363.19,1244.36,14741.55,0.9155,952.56
Sanger,0.2,0.1,GoCo-source,0.1915,0.02,367.37,1278.34,15643.12,0.9182,944.46
Sanger,0.2,0.1,GoDag,0.1895,0.0,353.5,1163.21,13324.21,0.9127,937.79
Sanger,0.2,0.1,GoDag-cert60,0.1891,0.0,352.64,1158.19,13254.31,0.9126,935.88
Sanger,0.2,0.1,GoDag-dense,0.1939,0.1,365.5,1247.0,14772.87,0.9155,955.16
Sanger,0.2,0.5,Boger,0.1895,0.0,353.5,1163.21,13324.21,0.9127,937.79
Sanger,0.2,0.5,GoCo-dense-random1,0.1988,0.44,373.18,1303.28,15736.39,0.9172,979.11
Sanger,0.2,0.5,GoCo-dense-source,0.1978,0.33,372.2,1302.58,15767.21,0.9174,973.16
Sanger,0.2,0.5,GoCo-exp0,0.1903,0.01,359.29,1210.98,14227.86,0.9149,940.6
Sanger,0.2,0.5,GoCo-exp1,0.1946,0.09,380.15,1350.78,16417.52,0.9177,962.85
Sanger,0.2,0.5,GoCo-oracle,0.1887,0.01,383.14,1355.6,16087.43,0.9157,946.77
Sanger,0.2,0.5,GoCo-random,0.1981,0.4,372.84,1302.21,15476.2067,0.9158,977.8833
Sanger,0.2,0.5,GoCo-score,0.1964,0.19,370.71,1322.82,16027.2,0.9174,964.66
Sanger,0.2,0.5,GoCo-source,0.1925,0.02,370.57,1299.89,15981.22,0.9187,949.08
Sanger,0.2,0.5,GoDag,0.1895,0.0,353.5,1163.21,13324.21,0.9127,937.79
Sanger,0.2,0.5,GoDag-cert60,0.1897,0.01,353.87,1165.44,13360.47,0.9128,938.55
Sanger,0.2,0.5,GoDag-dense,0.1967,0.18,369.77,1289.96,15441.58,0.9165,967.87
Wainberg,0.05,0.1,Boger,0.0359,0.0,114.86,183.14,489.22,0.6258,267.33
Wainberg,0.05,0.1,GoCo-dense-random1,0.0463,0.15,120.87,197.31,614.37,0.6787,319.3
Wainberg,0.05,0.1,GoCo-dense-source,0.0443,0.15,122.76,204.45,681.11,0.6987,308.41
Wainberg,0.05,0.1,GoCo-exp0,0.0359,0.0,114.86,183.14,489.22,0.6258,267.33
Wainberg,0.05,0.1,GoCo-exp1,0.0359,0.0,114.86,183.14,489.22,0.6258,267.33
Wainberg,0.05,0.1,GoCo-oracle,0.0359,0.0,114.86,183.14,489.22,0.6258,267.33
Wainberg,0.05,0.1,GoCo-random,0.0359,0.0,114.86,183.14,489.22,0.6258,267.33
Wainberg,0.05,0.1,GoCo-score,0.0359,0.0,114.86,183.14,489.22,0.6258,267.33
Wainberg,0.05,0.1,GoCo-source,0.0359,0.0,114.86,183.14,489.22,0.6258,267.33
Wainberg,0.05,0.1,GoDag,0.0359,0.0,114.86,183.14,489.22,0.6258,267.33
Wainberg,0.05,0.1,GoDag-cert60,0.0359,0.0,114.86,183.14,489.22,0.6258,267.33
Wainberg,0.05,0.1,GoDag-dense,0.0365,0.0,116.05,185.74,498.33,0.6274,271.44
Wainberg,0.05,0.5,Boger,0.0359,0.0,114.86,183.14,489.22,0.6258,267.33
Wainberg,0.05,0.5,GoCo-dense-random1,0.0484,0.33,121.58,200.79,640.59,0.6864,328.74
Wainberg,0.05,0.5,GoCo-dense-source,0.0479,0.21,124.99,209.89,732.86,0.7136,325.94
Wainberg,0.05,0.5,GoCo-exp0,0.0359,0.0,114.86,183.14,489.22,0.6258,267.33
Wainberg,0.05,0.5,GoCo-exp1,0.0359,0.0,114.86,183.14,489.22,0.6258,267.33
Wainberg,0.05,0.5,GoCo-oracle,0.0359,0.0,114.86,183.14,489.22,0.6258,267.33
Wainberg,0.05,0.5,GoCo-random,0.0359,0.0,114.86,183.14,489.22,0.6258,267.33
Wainberg,0.05,0.5,GoCo-score,0.0359,0.0,114.86,183.14,489.22,0.6258,267.33
Wainberg,0.05,0.5,GoCo-source,0.0359,0.0,114.86,183.14,489.22,0.6258,267.33
Wainberg,0.05,0.5,GoDag,0.0359,0.0,114.86,183.14,489.22,0.6258,267.33
Wainberg,0.05,0.5,GoDag-cert60,0.0359,0.0,114.86,183.14,489.22,0.6258,267.33
