dataset,seed,alpha,delta,method,policy,p_selected,cal_mean,cal_sd,unit_fdp,unit_yield,go_yield,total_calls,genes_with_calls,term_fdp,unit_fdp_direct,go_yield_direct,n_relaxed_eval,exceed
DRIVE,0,0.2,0.1,Boger,global_100,0.0447324055125469,0.1902339404390421,0.3813740011705506,0.1795900458761488,161,718.0,7287.0,370,0.901468368327158,0.1825288514638769,537.0,0,0.0
DRIVE,0,0.2,0.1,GoDag,global_100,0.0110074803197065,0.1870162090716062,0.375987016167239,0.1795900458761488,161,718.0,7287.0,370,0.901468368327158,0.1825288514638769,537.0,0,0.0
DRIVE,0,0.2,0.1,GoDag-dense,global_100.167,0.0110074803197065,0.1870162090716062,0.375987016167239,0.1795900458761488,161,718.0,7287.0,370,0.901468368327158,0.1825288514638769,537.0,0,0.0
DRIVE,0,0.2,0.1,GoDag-cert60,global_100,0.0276377143382773,0.1882304846687089,0.3770283385663939,0.1795900458761488,161,718.0,7287.0,370,0.901468368327158,0.1825288514638769,537.0,0,0.0
DRIVE,0,0.2,0.1,GoCo-source,global_100,0.0276377143382773,0.1882304846687089,0.3770283385663939,0.1795900458761488,161,718.0,7287.0,370,0.901468368327158,0.1825288514638769,537.0,0,0.0
DRIVE,0,0.2,0.1,GoCo-random1,global_100,0.0276377143382773,0.1882304846687089,0.3770283385663939,0.1795900458761488,161,718.0,7287.0,370,0.901468368327158,0.1825288514638769,537.0,0,0.0
DRIVE,0,0.2,0.1,GoCo-random2,global_100,0.0276377143382773,0.1882304846687089,0.3770283385663939,0.1795900458761488,161,718.0,7287.0,370,0.901468368327158,0.1825288514638769,537.0,0,0.0
DRIVE,0,0.2,0.1,GoCo-random3,global_100,0.0276377143382773,0.1882304846687089,0.3770283385663939,0.1795900458761488,161,718.0,7287.0,370,0.901468368327158,0.1825288514638769,537.0,0,0.0
DRIVE,0,0.2,0.1,GoCo-score,global_100,0.0276377143382773,0.1882304846687089,0.3770283385663939,0.1795900458761488,161,718.0,7287.0,370,0.901468368327158,0.1825288514638769,537.0,0,0.0
DRIVE,0,0.2,0.1,GoCo-oracle,global_100,0.0276377143382773,0.1882304846687089,0.3770283385663939,0.1795900458761488,161,718.0,7287.0,370,0.901468368327158,0.1825288514638769,537.0,0,0.0
DRIVE,0,0.2,0.1,GoCo-exp0,global_100,0.0276377143382773,0.1882304846687089,0.3770283385663939,0.1795900458761488,161,718.0,7287.0,370,0.901468368327158,0.1825288514638769,537.0,0,0.0
DRIVE,0,0.2,0.1,GoCo-exp1,global_100,0.0276377143382773,0.1882304846687089,0.3770283385663939,0.1795900458761488,161,718.0,7287.0,370,0.901468368327158,0.1825288514638769,537.0,0,0.0
DRIVE,0,0.2,0.1,GoCo-dense-source,global_100.167,0.0276377143382773,0.1882304846687089,0.3770283385663939,0.1795900458761488,161,718.0,7287.0,370,0.901468368327158,0.1825288514638769,537.0,0,0.0
DRIVE,0,0.2,0.1,GoCo-dense-random1,global_100.167,0.0276377143382773,0.1882304846687089,0.3770283385663939,0.1795900458761488,161,718.0,7287.0,370,0.901468368327158,0.1825288514638769,537.0,0,0.0
DRIVE,0,0.2,0.5,Boger,global_100,0.0447324055125469,0.1902339404390421,0.3813740011705506,0.1795900458761488,161,718.0,7287.0,370,0.901468368327158,0.1825288514638769,537.0,0,0.0
DRIVE,0,0.2,0.5,GoDag,global_100,0.0110074803197065,0.1870162090716062,0.375987016167239,0.1795900458761488,161,718.0,7287.0,370,0.901468368327158,0.1825288514638769,537.0,0,0.0
DRIVE,0,0.2,0.5,GoDag-dense,global_100.167,0.0110074803197065,0.1870162090716062,0.375987016167239,0.1795900458761488,161,718.0,7287.0,370,0.901468368327158,0.1825288514638769,537.0,0,0.0
DRIVE,0,0.2,0.5,GoDag-cert60,global_100,0.0276377143382773,0.1882304846687089,0.3770283385663939,0.1795900458761488,161,718.0,7287.0,370,0.901468368327158,0.1825288514638769,537.0,0,0.0
DRIVE,0,0.2,0.5,GoCo-source,global_100,0.0276377143382773,0.1882304846687089,0.3770283385663939,0.1795900458761488,161,718.0,7287.0,370,0.901468368327158,0.1825288514638769,537.0,0,0.0
DRIVE,0,0.2,0.5,GoCo-random1,global_100,0.0276377143382773,0.1882304846687089,0.3770283385663939,0.1795900458761488,161,718.0,7287.0,370,0.901468368327158,0.1825288514638769,537.0,0,0.0
DRIVE,0,0.2,0.5,GoCo-random2,global_100,0.0276377143382773,0.1882304846687089,0.3770283385663939,0.1795900458761488,161,718.0,7287.0,370,0.901468368327158,0.1825288514638769,537.0,0,0.0
DRIVE,0,0.2,0.5,GoCo-random3,global_100,0.0276377143382773,0.1882304846687089,0.3770283385663939,0.1795900458761488,161,718.0,7287.0,370,0.901468368327158,0.1825288514638769,537.0,0,0.0
DRIVE,0,0.2,0.5,GoCo-score,global_100,0.0276377143382773,0.1882304846687089,0.3770283385663939,0.1795900458761488,161,718.0,7287.0,370,0.901468368327158,0.1825288514638769,537.0,0,0.0
DRIVE,0,0.2,0.5,GoCo-oracle,global_100,0.0276377143382773,0.1882304846687089,0.3770283385663939,0.1795900458761488,161,718.0,7287.0,370,0.901468368327158,0.1825288514638769,537.0,0,0.0
