dataset,repeat,n_calls_T,auc_score_T,auc_phat_T,auc_score_E,auc_phat_E
Sanger,44,7175,0.5784772813234883,0.5589054604229167,0.5891510033968531,0.648712863268063
Sanger,45,7039,0.5550444344027715,0.6877379876487423,0.5909595715554833,0.6824621241249804
Sanger,46,7419,0.5944385348244482,0.5835602936786087,0.5874660201250903,0.6412720132979199
Sanger,47,7083,0.6002260421173263,0.5760678848242973,0.5869072210880025,0.6350421379670449
Sanger,48,7797,0.587840505506571,0.5872173611033308,0.5881988590077887,0.7116319094923153
Sanger,49,6547,0.5963646576616902,0.6633568078445511,0.5875017879299964,0.7451842137688303
Sanger,50,7184,0.5659458784490168,0.5508728232554494,0.5906300043137204,0.6834749147745011
Sanger,51,7213,0.5763702305410477,0.675623132254283,0.5894490670684811,0.7047770787719897
Sanger,52,7225,0.6239447286892613,0.5951257924166621,0.58396904164919,0.6644232613016259
Sanger,53,7539,0.6071087435813227,0.5489275782053398,0.5862950142239031,0.6443153454314503
Sanger,54,6928,0.593869739321608,0.6500883322864321,0.5876164253013222,0.6945398930248479
Sanger,55,7619,0.6051660511382935,0.6954500244550819,0.5865368482432866,0.747314204149984
Sanger,56,7605,0.5907162277610859,0.6200636639889551,0.5878365808798764,0.6344581300504234
Sanger,57,6874,0.5667726145011918,0.5780395367681815,0.5903217523324013,0.7115160546268168
Sanger,58,6971,0.5913002789143578,0.7410828106638728,0.5879155011314886,0.7346885995956483
Sanger,59,7812,0.5927965841572507,0.5909632887167952,0.5876926051882577,0.7142361489125586
Sanger,60,6448,0.5561044206961618,0.6239965600537711,0.5914079829728783,0.724311339437197
Sanger,61,7481,0.5749018293266929,0.657878825832087,0.5897196526151647,0.6962956379991552
Sanger,62,7504,0.5825520526319355,0.5689733113807752,0.5885444436674176,0.6885545745318922
Sanger,63,7503,0.5584201360804136,0.7241244105090767,0.5915336918247098,0.6963700457360109
Sanger,64,7766,0.5917162663766352,0.6294581117352996,0.5878593017025108,0.6950135441086988
Sanger,65,6536,0.6015677743964811,0.6176022593596563,0.5868746445536477,0.7116608376617399
Sanger,66,6631,0.5641637800870415,0.6220063948840927,0.5908006723153965,0.653215724119697
